loc,expt,entry,plot,col,row,rep,yield
6,4,17,2995,16,10,1,5.88335249
6,4,170,3010,16,11,1,7.64664751
6,4,51,3025,16,12,1,6.275743295
6,4,27,3040,16,13,1,7.19291954
6,4,179,3055,16,14,1,8.843337165
6,4,24,3070,16,15,1,8.124534483
6,4,38,3085,16,16,1,5.202233716
6,4,3,3100,16,17,1,5.827258621
6,4,94,3115,16,18,1,6.497965517
6,4,97,3130,16,19,2,6.446344828
6,4,16,3145,16,20,2,5.236268199
6,4,178,3160,16,21,2,5.478212644
6,4,63,3175,16,22,2,5.752917625
6,4,128,3190,16,23,2,6.190781609
6,4,168,3205,16,24,2,7.946360153
6,4,54,3220,16,25,2,10.26050958
6,4,173,3235,16,26,2,7.591810345
6,4,1,3250,16,27,2,7.689862069
6,4,178,3265,16,28,2,7.841101533
6,4,92,3280,16,29,2,5.719241379
6,4,56,3295,16,30,2,9.108199234
6,4,7,3310,16,31,2,8.138505747
6,4,95,3325,16,32,2,6.829275862
6,4,154,2920,16,5,1,6.422145594
6,4,18,2935,16,6,1,6.356061303
6,4,180,2950,16,7,1,3.512068966
6,4,49,2965,16,8,1,3.006559387
6,4,28,2980,16,9,1,7.150114943
6,4,134,2996,17,10,1,7.710756705
6,4,178,3011,17,11,1,9.047318008
6,4,133,3026,17,12,1,9.825321839
6,4,161,3041,17,13,1,6.512779693
6,4,67,3056,17,14,1,8.002710728
6,4,119,3071,17,15,1,7.062321839
6,4,85,3086,17,16,1,4.332931034
6,4,88,3101,17,17,1,4.713766284
6,4,180,3116,17,18,1,4.763731801
6,4,65,3131,17,19,2,4.703111111
6,4,136,3146,17,20,2,7.513333333
6,4,69,3161,17,21,2,8.487735632
6,4,101,3176,17,22,2,5.150126437
6,4,177,3191,17,23,2,10.14052107
6,4,124,3206,17,24,2,8.986199234
6,4,179,3221,17,25,2,7.456783525
6,4,112,3236,17,26,2,7.880551724
6,4,146,3251,17,27,2,9.27937931
6,4,134,3266,17,28,2,9.205329502
6,4,82,3281,17,29,2,6.757758621
6,4,62,3296,17,30,2,7.884750958
6,4,47,3311,17,31,2,5.848844828
6,4,178,3326,17,32,2,6.812749042
6,4,164,2921,17,5,1,8.057637931
6,4,20,2936,17,6,1,7.595655172
6,4,22,2951,17,7,1,8.413141762
6,4,11,2966,17,8,1,5.909923372
6,4,9,2981,17,9,1,8.147862069
6,4,63,2997,18,10,1,6.291111111
6,4,155,3012,18,11,1,7.271831418
6,4,165,3027,18,12,1,6.502988506
6,4,53,3042,18,13,1,5.667969349
6,4,73,3057,18,14,1,7.289091954
6,4,179,3072,18,15,1,7.710425287
6,4,99,3087,18,16,1,7.382758621
6,4,79,3102,18,17,1,8.626819923
6,4,25,3117,18,18,1,5.730153257
6,4,84,3132,18,19,2,7.925522989
6,4,32,3147,18,20,2,7.406911877
6,4,34,3162,18,21,2,6.923586207
6,4,180,3177,18,22,2,9.570291188
6,4,141,3192,18,23,2,8.1328659
6,4,169,3207,18,24,2,7.418666667
6,4,48,3222,18,25,2,9.426636015
6,4,3,3237,18,26,2,12.19326437
6,4,154,3252,18,27,2,10.35580843
6,4,113,3267,18,28,2,11.21472414
6,4,178,3282,18,29,2,8.859743295
6,4,59,3297,18,30,2,10.64938697
6,4,151,3312,18,31,2,9.577166667
6,4,107,3327,18,32,2,10.01017433
6,4,144,2922,18,5,1,6.992465517
6,4,72,2937,18,6,1,8.714
6,4,45,2952,18,7,1,8.941340996
6,4,179,2967,18,8,1,5.829578544
6,4,10,2982,18,9,1,7.308045977
6,4,171,2998,19,10,1,9.196045977
6,4,26,3013,19,11,1,9.195068966
6,4,178,3028,19,12,1,7.619954023
6,4,121,3043,19,13,1,8.472883142
6,4,149,3058,19,14,1,8.994331418
6,4,147,3073,19,15,1,7.862574713
6,4,139,3088,19,16,1,6.04708046
6,4,113,3103,19,17,1,4.759902299
6,4,126,3118,19,18,1,4.859452107
6,4,179,3133,19,19,2,6.282111111
6,4,93,3148,19,20,2,3.635747126
6,4,98,3163,19,21,2,4.238494253
6,4,135,3178,19,22,2,3.544444444
6,4,172,3193,19,23,2,2.775680077
6,4,31,3208,19,24,2,3.599555556
6,4,50,3223,19,25,2,2.445793103
6,4,180,3238,19,26,2,7.450114943
6,4,44,3253,19,27,2,6.71451341
6,4,11,3268,19,28,2,5.575137931
6,4,55,3283,19,29,2,4.513386973
6,4,118,3298,19,30,2,6.373668582
6,4,57,3313,19,31,2,6.505457854
6,4,33,3328,19,32,2,7.033603448
6,4,179,2923,19,5,1,9.739333333
6,4,123,2938,19,6,1,12.3619387
6,4,124,2953,19,7,1,9.798172414
6,4,125,2968,19,8,1,9.117931034
6,4,162,2983,19,9,1,7.638862069
6,4,148,2984,3,10,1,8.493381226
6,4,5,2999,3,11,1,6.30267433
6,4,178,3014,3,12,1,5.017655172
6,4,97,3029,3,13,1,6.398178161
6,4,104,3044,3,14,1,5.91837931
6,4,93,3059,3,15,1,6.194034483
6,4,16,3074,3,16,1,7.186840996
6,4,4,3089,3,17,1,5.81359387
6,4,151,3104,3,18,1,6.633436782
6,4,178,3119,3,19,2,7.306440613
6,4,2,3134,3,20,2,6.750059387
6,4,87,3149,3,21,2,5.509787356
6,4,144,3164,3,22,2,7.278348659
6,4,68,3179,3,23,2,5.525007663
6,4,127,3194,3,24,2,5.697639847
6,4,28,3209,3,25,2,6.520885057
6,4,179,3224,3,26,2,8.347586207
6,4,108,3239,3,27,2,8.755141762
6,4,51,3254,3,28,2,6.406718391
6,4,53,3269,3,29,2,7.861557471
6,4,61,3284,3,30,2,6.393206897
6,4,73,3299,3,31,2,6.778333333
6,4,153,3314,3,32,2,7.379203065
6,4,180,2909,3,5,1,6.155850575
6,4,163,2924,3,6,1,5.126896552
6,4,95,2939,3,7,1,5.822402299
6,4,136,2954,3,8,1,6.297145594
6,4,83,2969,3,9,1,7.792126437
6,4,130,2985,4,10,1,6.594683908
6,4,68,3000,4,11,1,6.537597701
6,4,55,3015,4,12,1,4.382950192
6,4,101,3030,4,13,1,7.40966092
