loc,expt,entry,plot,col,row,rep,plantHeight
6,4,158,3289,8,30,2,251
6,4,13,3304,8,31,2,246
6,4,180,3319,8,32,2,241
6,4,66,2914,8,5,1,236
6,4,90,2929,8,6,1,267
6,4,74,2944,8,7,1,254
6,4,48,2959,8,8,1,271
6,4,44,2974,8,9,1,240
6,4,54,2990,9,10,1,285
6,4,35,3005,9,11,1,242
6,4,81,3020,9,12,1,249
6,4,138,3035,9,13,1,259
6,4,108,3050,9,14,1,230
6,4,179,3065,9,15,1,272
6,4,140,3080,9,16,1,250
6,4,175,3095,9,17,1,252
6,4,84,3110,9,18,1,231
6,4,139,3125,9,19,2,242
6,4,26,3140,9,20,2,234
6,4,29,3155,9,21,2,243
6,4,180,3170,9,22,2,243
6,4,58,3185,9,23,2,247
6,4,152,3200,9,24,2,251
6,4,14,3215,9,25,2,233
6,4,115,3230,9,26,2,259
6,4,121,3245,9,27,2,277
6,4,75,3260,9,28,2,248
6,4,178,3275,9,29,2,274
6,4,131,3290,9,30,2,281
6,4,114,3305,9,31,2,284
6,4,123,3320,9,32,2,254
6,4,70,2915,9,5,1,235
6,4,100,2930,9,6,1,254
6,4,31,2945,9,7,1,231
6,4,178,2960,9,8,1,254
6,4,58,2975,9,9,1,239
