Record	Yhat	Residual	Hat	RinvRes	AOMstat
237	6.5224	-1.286	0.1432E-01	-0.5862	-0.8925
238	6.5224	0.9909	0.1432E-01	0.4502	0.6854
239	6.5224	0.8845	0.1432E-01	0.4828	0.7351
240	6.5224	-2.887	0.1432E-01	-1.278	-1.961
241	6.5224	-1.013	0.1432E-01	-0.3754	-0.5763
242	6.5224	-1.071	0.1432E-01	-0.3476	-0.5291
243	6.5224	-1.194	0.1432E-01	-0.5467	-0.8323
244	6.5224	1.640	0.1432E-01	0.7594	1.156
245	6.5224	0.2536	0.1432E-01	-0.6271E-01	-0.9547E-01
246	6.5224	1.635	0.1432E-01	0.7635	1.162
247	6.5224	-1.308	0.1432E-01	-0.5815	-0.8853
248	6.5224	-1.344	0.1432E-01	-0.5775	-0.8793
249	6.5224	1.228	0.1432E-01	0.6261	0.9532
250	6.5224	-0.4505	0.1432E-01	-0.3211	-0.4888
251	6.5224	1.164	0.1432E-01	0.5829	0.8874
252	6.5224	-1.044	0.1432E-01	-0.6170	-0.9393
253	6.5224	1.965	0.1432E-01	0.8848	1.347
254	6.5224	0.4011	0.1432E-01	0.1905	0.2900
255	6.5224	-2.284	0.1432E-01	-0.9952	-1.527
256	6.5224	0.7559	0.1432E-01	0.4063	0.6236
257	6.5224	-1.593	0.1432E-01	-0.6734	-1.025
258	6.5224	-1.064	0.1432E-01	-0.2838	-0.4321
259	6.5224	-1.764	0.1432E-01	-0.7400	-1.127
260	6.5224	0.6119	0.1432E-01	0.2916	0.4440
261	6.5224	1.258	0.1432E-01	0.5727	0.8719
262	6.5224	-1.148	0.1432E-01	-0.5107	-0.7775
263	6.5224	-0.9997	0.1432E-01	-0.4511	-0.6868
264	6.5224	1.495	0.1432E-01	0.6159	0.9377
265	6.5224	1.598	0.1432E-01	0.6491	0.9882
266	6.5224	-0.6863	0.1432E-01	-0.3408	-0.5188
267	6.5224	-0.7695	0.1432E-01	-0.2247	-0.3421
268	6.5224	-1.372	0.1432E-01	-0.7142	-1.087
269	6.5224	3.048	0.1432E-01	1.549	2.358
270	6.5224	-2.978	0.1432E-01	-1.431	-2.196
271	6.5224	-0.9974	0.1432E-01	-0.3654	-0.5609
272	6.5224	-1.138	0.1432E-01	-0.4547	-0.6923
273	6.5224	0.2731	0.1432E-01	0.1058	0.1610
274	6.5224	1.375	0.1432E-01	0.5666	0.8626
275	6.5224	0.2723	0.1432E-01	0.8668E-02	0.1320E-01
276	6.5224	0.6987	0.1432E-01	0.2814	0.4284
277	6.5224	0.1296	0.1432E-01	0.2134E-01	0.3248E-01
278	6.5224	-0.3885E-01	0.1432E-01	0.7353E-02	0.1119E-01
279	6.5224	-0.5884	0.1432E-01	-0.2050	-0.3122
280	6.5224	-0.9050	0.1432E-01	-0.4506	-0.6860
281	6.5224	1.703	0.1432E-01	0.8027	1.222
282	6.5224	-0.3317	0.1432E-01	-0.4239	-0.6454
283	6.5224	3.618	0.1432E-01	1.499	2.282
284	6.5224	1.610	0.1432E-01	0.7040	1.072
285	6.5224	-3.747	0.1432E-01	-1.683	-2.583
286	6.5224	-0.8248	0.1432E-01	-0.2393	-0.3674
287	6.5224	-2.134	0.1432E-01	-0.8036	-1.224
