Record	Yhat	Residual	Hat	RinvRes	AOMstat
812	4.0692	-1.403	0.8862E-01	-0.5307	-1.236
813	4.0689	-0.9022	0.8859E-01	-0.3003	-0.6993
814	4.1668	-1.567	0.8918E-01	-0.6149	-1.432
815	4.0886	-0.7053	0.8860E-01	-0.2651	-0.6173
816	4.3434	1.219	0.8861E-01	0.5718	1.331
817	3.8950	-0.8950	0.8862E-01	-0.4140	-0.9641
818	4.0833	-1.450	0.8916E-01	-0.5279	-1.229
819	4.2748	-1.641	0.3662E-01	-0.6393	-1.489
820	4.2923	0.1244	0.8922E-01	0.1097	0.2554
821	4.3012	0.4882E-01	0.8923E-01	-0.4021E-01	-0.9364E-01
822	4.0697	1.950	0.8855E-01	0.8164	1.901
823	4.4317	1.346	0.8922E-01	0.5192	1.212
